Knot1,Knot2,Variant
v0521,v0521,reverse_mirror
v0535,v0535,reverse
v0535,v0535,mirror
v0535,v0535,reverse_mirror
v0545,v0545,reverse
v0554,v0554,reverse
v0570,v0570,reverse
v0573,v0573,reverse
v0595,v0595,reverse
v0595,t06316,identity
v0595,t06316,reverse
v0595,t12120,mirror
v0595,t12120,reverse_mirror
v0595,o9_02163,mirror
v0595,o9_02163,reverse_mirror
v0600,v0600,reverse
v0656,v0656,reverse
v0656,o9_41388,mirror
v0656,o9_41388,reverse_mirror
v0707,v0707,reverse
v0709,v0709,reverse
v0715,v0715,reverse
v0740,v0740,reverse
v0740,v1832,mirror
v0740,v1832,reverse_mirror
v0740,o9_37751,identity
v0740,o9_37751,reverse
v0741,v0741,reverse
v0741,t01949,mirror
v0741,t01949,reverse_mirror
v0759,v0759,reverse
v0765,v0765,reverse
v0830,v0830,reverse
v0830,t07670,mirror
v0830,t07670,reverse_mirror
v0847,v0847,reverse
v0912,v0912,reverse
v0939,v0939,reverse
v0945,v0945,reverse
v0959,v0959,reverse
v0960,v0960,reverse
v1063,v1063,reverse
v1077,v1077,reverse
v1077,t02104,mirror
v1077,t02104,reverse_mirror
v1109,v1109,reverse
v1109,t04180,identity
v1109,t04180,reverse
v1126,v1126,reverse
v1217,v1217,reverse
v1243,v1243,reverse
v1269,v1269,reverse
v1300,v1300,reverse
v1348,v1348,reverse
v1348,o9_39266,mirror
v1348,o9_39266,reverse_mirror
v1359,v1359,reverse
v1392,v1392,reverse
v1423,v1423,reverse
v1425,v1425,reverse
v1434,v1434,reverse
v1547,v1547,reverse
v1565,v1565,reverse
v1620,v1620,reverse
v1628,v1628,reverse
v1690,v1690,reverse
v1709,v1709,reverse
v1716,v1716,reverse
v1718,v1718,reverse
v1728,v1728,reverse
v1810,v1810,reverse
v1811,v1811,reverse
v1832,v1832,reverse
v1832,o9_37751,mirror
v1832,o9_37751,reverse_mirror
v1839,v1839,reverse
v1839,o9_33585,identity
v1839,o9_33585,reverse
v1915,v1915,reverse
v1921,v1921,reverse
v1935,v1935,reverse
v1940,v1940,reverse
v1940,o9_04938,mirror
v1940,o9_04938,reverse_mirror
v1964,v1964,reverse
v1964,o9_43369,identity
v1964,o9_43369,reverse
v1966,v1966,reverse
v1966,t04003,identity
v1966,t04003,reverse
v1966,o9_29551,identity
v1966,o9_29551,reverse
v1980,v1980,reverse
v1986,v1986,reverse
v2001,v2001,reverse
v2001,v2743,identity
v2001,v2743,reverse
v2001,o9_40547,identity
v2001,o9_40547,reverse
v2024,v2024,reverse
v2024,t06246,mirror
v2024,t06246,reverse_mirror
v2024,o9_23461,mirror
v2024,o9_23461,reverse_mirror
v2090,v2090,reverse
v2166,v2166,reverse
v2166,o9_39519,identity
v2166,o9_39519,reverse
v2191,v2191,reverse
v2215,v2215,reverse
v2217,v2217,reverse
v2257,v2257,reverse
v2257,v2257,mirror
v2257,v2257,reverse_mirror
v2257,o9_37795,identity
v2257,o9_37795,reverse
v2257,o9_37795,mirror
v2257,o9_37795,reverse_mirror
v2284,v2284,reverse
v2284,o9_33067,mirror
v2284,o9_33067,reverse_mirror
v2284,o9_34323,identity
v2284,o9_34323,reverse
v2284,o9_41611,mirror
v2284,o9_41611,reverse_mirror
v2290,v2290,reverse
v2325,v2325,reverse
v2384,v2384,reverse
v2488,v2488,reverse
v2520,v2520,reverse
v2552,v2552,reverse
v2553,v2553,reverse
v2623,v2623,reverse
v2624,v2624,reverse
v2642,v2642,reverse
v2743,v2743,reverse
v2743,o9_40547,identity
v2743,o9_40547,reverse
v2759,v2759,reverse
v2851,v2851,reverse
v2858,v2858,reverse
v2869,v2869,reverse
v2869,v2869,mirror
v2869,v2869,reverse_mirror
v2869,t12388,identity
v2869,t12388,reverse
v2869,t12388,mirror
v2869,t12388,reverse_mirror
v2871,v2871,reverse
v2888,v2888,reverse
v2894,v2894,reverse
v2900,v2900,reverse
v2925,v2925,reverse
v2930,v2930,reverse
v3070,v3070,reverse
v3081,v3081,reverse
v3093,v3093,reverse
v3093,t11814,identity
v3093,t11814,reverse
v3105,v3105,reverse
v3169,v3169,reverse
v3169,o9_38364,identity
v3169,o9_38364,reverse
v3199,v3199,reverse
v3234,v3234,reverse
v3310,v3310,reverse
v3320,v3320,reverse
v3335,v3335,reverse
v3354,v3354,reverse
v3356,v3356,reverse
v3482,v3482,reverse
v3505,v3505,reverse
v3505,o9_37080,mirror
v3505,o9_37080,reverse_mirror
v3541,v3541,reverse
t00017,t00017,reverse
t00017,t00017,mirror
